"scalar1of1Gradient:0","scalar1of1Gradient:1","scalar1of1","Result:0","Result:1","Result:2","IntegrationTime","Vorticity:0","Vorticity:1","Vorticity:2","Rotation","AngularVelocity","Normals:0","Normals:1","Normals:2","vtkOriginalPointIds","Points:0","Points:1","Points:2"
-0.00055687720086093,0.000556069580087752,1304.64589932129,-0.00055687720086093,0.000556069580087752,0,116316.318665632,0,0,6.59742794684685e-007,0,0,0,0,-1,6307,58812.25,67497.5,-2.27107436047251e-013
-0.000545834544482813,0.000520261377592614,1304.64859055913,-0.000545834544482813,0.000520261377592614,0,120808.895282174,0,0,6.58039124701924e-006,0,0,0,0,-1,6308,58809.71875,67500,-2.27107436047251e-013
-0.000538401528203705,0.000498113757400253,1304.64956286817,-0.000538401528203705,0.000498113757400253,0,122374.108980616,0,0,-6.54611512116878e-006,0,0,0,0,-1,6309,58808.78125,67500.5,-2.27107436047251e-013
-0.000511662425232887,0.000432681975403552,1304.6520263413,-0.000511662425232887,0.000432681975403552,0,127194.324801053,0,0,-6.59380079395095e-006,0,0,0,0,-1,6310,58806.125,67503,-2.27107436047251e-013
-0.00048901241764836,0.000372920255491589,1304.65430186537,-0.00048901241764836,0.000372920255491589,0,132470.582150344,0,0,4.4269022076441e-006,0,0,0,0,-1,6311,58803.375,67505.5,-2.27107436047251e-013
-0.000478689273945897,0.000340054210578659,1304.6564577722,-0.000478689273945897,0.000340054210578659,0,138219.587543889,0,0,6.38156483592864e-007,0,0,0,0,-1,6312,58800.53125,67507.5,-2.27107436047251e-013
-0.000435868102546187,0.000310611441486618,1304.65846239656,-0.000435868102546187,0.000310611441486618,0,144240.797804153,0,0,-1.52927965183119e-006,0,0,0,0,-1,6313,58797.65625,67509.5,-2.27107436047251e-013
-0.000426488545260372,0.000301968813907331,1304.65885154195,-0.000426488545260372,0.000301968813907331,0,149369.552174561,0,0,-4.9418713235746e-007,0,0,0,0,-1,6314,58797.09375,67510,-2.27107436047251e-013
-0.000420985668056511,0.000296218707138346,1304.65908391883,-0.000420985668056511,0.000296218707138346,0,150109.828749302,0,0,4.14010020332104e-006,0,0,0,0,-1,6315,58796.75,67510,-2.27107436047251e-013
-0.000396197033156705,0.000261533767756877,1304.66081021083,-0.000396197033156705,0.000261533767756877,0,156978.187994498,0,0,-1.08539212231222e-006,0,0,0,0,-1,6316,58793.84375,67512,-2.27107436047251e-013
-0.000397767297458621,0.00025414314133418,1304.66247818867,-0.000397767297458621,0.00025414314133418,0,164425.593927298,0,0,2.37329527792211e-007,0,0,0,0,-1,6317,58790.875,67514,-2.27107436047251e-013
-0.000401031494568306,0.000226165220821554,1304.66414631134,-0.000401031494568306,0.000226165220821554,0,171915.735836061,0,0,-2.0931757521622e-006,0,0,0,0,-1,6318,58787.84375,67516,-2.27107436047251e-013
